"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Window","Select Maven Profiles","⌃⌥P","In Windows"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"C/C++ Source","Show Source Quick Menu","⌥⌘S","C/C++ Editor"
"C/C++ Source","Toggle Mark Occurrences","⌥⌘O","C/C++ Editor"
"Text Editing","Text Start","⌘↖","Editing Text"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Focused UI","Focus on Active Task","⌥⇧H","In Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⌥⇧↓","In Tasks View"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Project","Build Target Build","⇧F9","In Windows"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"C/C++ Source","Surround With Quick Menu","⌥⌘Z","C/C++ Editor"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Run/Debug","Step Into","F5","Debugging"
"Window","Activate Editor","⌘F12","In Windows"
"Task Repositories","Mark Task Unread","⌥⇧U","In Tasks Editor"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Task Editor","Submit Task","⌥⇧S","In Tasks Editor"
"File","Close All","⇧⌘W","In Windows"
"Text Editing","Zoom Out","⌘-","Editing Text"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Source","Organize Imports","⇧⌘O","In Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Window","Next Editor","⌘F6","In Windows"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Run/Debug","Coverage RAP JUnit Test","⌥⇧E R","In Windows"
"Edit","Restore Last Selection","⌃⇧⇟","Editing Java Source"
"Run/Debug","Go to Program Counter","↖","In Disassembly"
"Text Editing","Delete Line","⌘Y","Editing Text"
"Focused UI","Show Context Quick View","⌥⇧⌘→","In Windows"
"Edit","Restore Last C/C++ Selection","⌃⇧⇟","C/C++ Editor"
"Task Repositories","Quick Outline","⌘O","In Tasks Editor"
"Project","Build All","⌘B","In Windows"
"Terminal view commands","Paste","⌘V","Terminal Control in Focus"
"Run/Debug","Run Maven Build","⌥⇧X M","In Windows"
"File","Save","⌘S","In Windows"
"Run/Debug","Go to Address...","⌘G","In Disassembly"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Git","Commit...","⌥⌘3","In Windows"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"File","Properties","⌘I","In Windows"
"Navigate","Backward History","⌥⌘←","In Windows"
"Focused UI","Make Less Interesting","⌥⇧⌘↓","In Windows"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Reverse Debugging Commands","Uncall","⇧F7","Debugging C/C++"
"Refactor - C++","Rename - Refactoring ","⌥⌘R","C/C++ Editor"
"C/C++ Source","Explore Macro Expansion","⌘=","C/C++ Editor"
"C/C++ Source","Declaration","⌘G","C/C++ Editor"
"Run/Debug","Step Return","F7","Debugging"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"Run/Debug","Execute","⌘U","In Windows"
"C/C++ Source","Toggle Source/Header","⌃Tab","C/C++ Editor"
"Project","Rebuild Last Target","F9","In Windows"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Window","Next Perspective","⌘F8","In Windows"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Edit","Matching Tag","⌃⇧.","Editing in Structured Text Editors"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Edit","Find and Replace","⌘F","In Windows"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Views","Show View (Declaration)","⌥⌘Q D","In Windows"
"Run/Debug","Debug Android Application","⌥⇧A D","In Windows"
"Text Editing","Text End","↘","Editing Text"
"Views","Show View","⌥⌘Q Q","In Windows"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"C/C++ Source","Toggle Comment","⌘7","C/C++ Editor"
"Window","Toggle Full Screen","⌃⌘F","In Windows"
"Window","Next View","⌘F7","In Windows"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Search","Declaration in Workspace","⌘G","In Windows"
"Task Repositories","Mark Task Incomplete","⌥⇧I","In Tasks View"
"C/C++ Source","Toggle Comment","⌘/","C/C++ Editor"
"Terminal view commands","Terminal view insert","⌥E","Terminal Typing Connected"
"Text Editing","Open Hyperlink","F3","in Generic Code Editor"
"C/C++ Source","Forward","⌥→","In Macro Expansion Hover"
"Text Editing","Zoom In","⌘=","Editing Text"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Task Repositories","Mark Task Unread","⌥⇧U","In Tasks View"
"Window","Quick Switch Editor","⌘E","In Windows"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"C/C++ Source","Declaration","⌘G","In C/C++ Views"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"C/C++ Source","Align const qualifiers","⇧⌘A","C/C++ Editor"
"File","Print","⌘P","In Windows"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Run/Debug","Run to Line","⌘R","Debugging"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Terminal view commands","Terminal view insert","⌥N","Terminal Typing Connected"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
"Navigate","Previous","⇧⌘.","In Windows"
"Refactor - C++","Extract Constant - Refactoring ","⌥C","C/C++ Editor"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Terminal view commands","Terminal view insert","⌥W","Terminal Typing Connected"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Navigate","Next Page","⌥F7","In Windows"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"C/C++ Source","Surround With Quick Menu","⌥⇧Z","C/C++ Editor"
"Run/Debug","Debug","⌘F11","In Windows"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Focused UI","Make Landmark","⌥⇧⌘↑","In Windows"
"Source","Quick Assist - Extract method","⌘2 M","Editing Java Source"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Edit","Find Next","⌘K","Editing Text"
"Edit","Shift Left","⇧Tab","C/C++ Editor"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Text Editing","Line End","⌘→","Editing Text"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Run/Debug","Coverage Java Application","⌥⇧E J","In Windows"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Window","Previous View","⇧⌘F7","In Windows"
"Edit","Context Information","⌥?","In Windows"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"C/C++ Source","Go to Matching Bracket","⇧⌘P","C/C++ Editor"
"Window","Show Contributing Plug-in","⌥⇧F3","In Dialogs and Windows"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Navigate","Open Call Hierarchy","⌃⌥H","C/C++ Editor"
"Edit","Previous Sibling","⌃⇧↑","Editing in Structured Text Editors"
"Edit","Select Next Element","⌃⇧↘","Editing Java Source"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Edit","Toggle Word Wrap","⌥⌘Y","Editing Text"
"Terminal view commands","Terminal view insert","⌥V","Terminal Typing Connected"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"C/C++ Source","References","⇧⌘G","In C/C++ Views"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Text Editing","Duplicate Lines","⇧⌘↓","Editing Text"
"Navigate","Backward History","⌥.","In Windows"
"Navigate","Forward History","⌥⌘→","In Windows"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Text Editing","Next Word","⌥→","Editing Text"
"Terminal view commands","Copy","⌘C","Terminal Control in Focus"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Edit","Select Enclosing Element","⌃⇧↑","Editing XML Source"
"Text Editing","Select Previous Word","⌥⇧←","Editing Text"
"Navigate","Open from Clipboard","⇧⌘V","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Navigate","Open Call Hierarchy","⌃⌥H","In C/C++ Views"
"Edit","Restore Last Selection","⌃⇧↓","Editing XML Source"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"C/C++ Source","Organize Includes","⇧⌘O","C/C++ Editor"
"Source","Snipmatch Snippet Completion","⌃⌥Space","Editing Text"
"Reverse Debugging Commands","Reverse Step Over","⇧F6","Debugging C/C++"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","⌥G","Terminal Typing Connected"
"Navigate","Open Include Browser","⌥⌘I","In C/C++ Views"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Terminal view commands","Terminal view insert","⌥B","Terminal Typing Connected"
"Android Refactorings","Extract Android String","⌥⇧A S","In Windows"
"File","Rename","F2","In Windows"
"Terminal view commands","Terminal view insert","⌥L","Terminal Typing Connected"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Navigate","Forward History","⌥/","In Windows"
"Text Editing","Text End","⌘↘","Editing Text"
"Task Repositories","Mark Task Complete","⌥⇧C","In Tasks Editor"
"Task Repositories","New Local Task","Insert","In Tasks View"
"C/C++ Source","Explore Macro Expansion","⌘#","C/C++ Editor"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Edit","Add Maven Dependency","⌃⇧D","Editing XML Source"
"Terminal view commands","Copy","⌘Insert","Terminal Control in Focus"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Run/Debug","EOF","⌃D","In I/O Console"
"Run/Debug","Coverage Last Launched","⌃⇧F11","In Windows"
"Run/Debug","Coverage TestNG Test","⌥⇧E N","In Windows"
"C/C++ Source","Open Declaration","F3","Assembly Editor"
"Navigate","Activate Task","⌘F9","In Windows"
"Terminal view commands","Terminal view insert","⌥R","Terminal Typing Connected"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Navigate","Next","⌘.","In Windows"
"Run/Debug","Step Into Selection","⌘F5","Debugging C/C++"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Run/Debug","Coverage Eclipse Application","⌥⇧E E","In Windows"
"Refactor - C++","Extract Function - Refactoring ","⌥⌘M","C/C++ Editor"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Makefile Source","Toggle Comment","⌘/","Makefile Editor"
"Navigate","Go to Line","⌘L","Editing Text"
"Navigate","Open Type","⇧⌘T","In Windows"
"Terminal view commands","Quick Access","⌥→","Terminal Control in Focus"
"Edit","Next Sibling","⌃⇧↓","Editing in Structured Text Editors"
"Run/Debug","Skip All Breakpoints","⌥⌘B","In Windows"
"Text Editing","Select Next Word","⌥⇧→","Editing Text"
"Navigate","Open Type in Hierarchy","⇧⌘H","In C/C++ Views"
"C/C++ Source","Show outline","⌘O","C/C++ Editor"
"Reverse Debugging Commands","Reverse Resume","⇧F8","Debugging C/C++"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Source","Format","⇧⌘F","Editing Java Source"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"C/C++ Source","Format","⇧⌘F","C/C++ Editor"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Edit","Quick Diff Toggle","⌃⇧Q","Editing Text"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Edit","Context Information","⌥⇧?","In Windows"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"C/C++ Source","Back","⌥←","In Macro Expansion Hover"
"Navigate","Open Type in Hierarchy","⇧⌘H","C/C++ Editor"
"C/C++ Source","Add Block Comment","⇧⌘/","C/C++ Editor"
"Reverse Debugging Commands","Reverse Step Into","⇧F5","Debugging C/C++"
"Edit","Select Enclosing Element","⌃⇧⇞","Editing Java Source"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Views","Show View ()","⌥⌘Q T","In Windows"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"File","Refresh","F5","In Windows"
"Run/Debug","Coverage JUnit Plug-in Test","⌥⇧E P","In Windows"
"Edit","Delete","⌦","In Windows"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Terminal view commands","Terminal view insert","⌥A","Terminal Typing Connected"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Terminal view commands","Terminal view insert","⌥Y","Terminal Typing Connected"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Edit","Select Enclosing C/C++ Element","⌃⇧⇞","C/C++ Editor"
"File","Save All","⇧⌘S","In Windows"
"C/C++ Source","Toggle Comment","⇧⌘C","C/C++ Editor"
"Navigate","Open Remote Task","⌥⇧⌘F12","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"C/C++ Source","Open Element","⇧⌘T","In C/C++ Views"
"Run/Debug","Coverage Scala Application","⌥⇧E L","In Windows"
"C/C++ Source","Indent Line","⌘I","C/C++ Editor"
"Edit","Add Maven Plugin","⌃⇧P","Editing XML Source"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Text Editing","Text Start","↖","Editing Text"
"Edit","Select Enclosing Element","⌥⇧↑","Editing in Structured Text Editors"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Edit","Content Assist","⌥/","In Dialogs and Windows"
"Refactor - C++","Rename - Refactoring ","⌥⌘R","In C/C++ Views"
"Navigate","Open Maven POM","⌥⇧P","In Windows"
"Search","Open Search Dialog","⇧⌘F","In Windows"
"Edit","Select Next Element","⌃⇧→","Editing in Structured Text Editors"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows"
"Run/Debug","Coverage TestNG Suite","⌥⇧E G","In Windows"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"C/C++ Source","Quick Type Hierarchy","⌘T","C/C++ Editor"
"C/C++ Source","Sort Lines","⌃⌘S","C/C++ Editor"
"View","Zoom Out","⌘-","In Windows"
"Task Repositories","Mark Task Incomplete","⌥⇧I","In Tasks Editor"
"C/C++ Source","Go to Previous Member","⌃⌥↑","C/C++ Editor"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Terminal view commands","Terminal view insert","⌥S","Terminal Typing Connected"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"File","Close","⌘W","In Windows"
"File","New menu","⌥⌘N","In Windows"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Navigate","Show In...","⌥⌘W","In Windows"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Terminal view commands","Terminal view insert","⌥T","Terminal Typing Connected"
"Edit","Select Previous Element","⌃⇧↖","Editing Java Source"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Navigate","Open Include Browser","⌥⌘I","C/C++ Editor"
"Task Repositories","Mark Task Read","⌥⇧R","In Tasks View"
"Views","Refresh View (Gradle Tasks)","F5","In Gradle Tasks View"
"Text Editing","Zoom In","⌘+","Editing Text"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Edit","Select Previous C/C++ Element","⌃⇧↖","C/C++ Editor"
"Run/Debug","Coverage JUnit Test","⌥⇧E T","In Windows"
"View","Zoom In","⌘=","In Windows"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Source","Annotate Class File","⌘1","Browsing attached Java Source"
"C/C++ Source","Remove Block Comment","⇧⌘\","C/C++ Editor"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Edit","Word Completion","⌥⌘/","Editing Text"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"C/C++ Source","Toggle Source/Header","⌘Tab","C/C++ Editor"
"Run/Debug","Step Over","F6","Debugging"
"Uncategorized","Find References","⇧⌘G","in Generic Code Editor"
"Run/Debug","Resume","F8","Debugging"
"Navigate","Open Declaration","⌘D","In Windows"
"Terminal view commands","Paste","⇧⌘V","Terminal Control in Focus"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Run/Debug","Run Android Application","⌥⇧A R","In Windows"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"File","New","⌘N","In Windows"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Uncategorized","Copy SHA-1","⌘C","In Git Reflog View"
"Edit","Find Previous","⇧⌘K","Editing Text"
"Text Editing","Line Start","⌘←","Editing Text"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Terminal view commands","Paste","⇧Insert","Terminal Control in Focus"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Edit","Select Next C/C++ Element","⌃⇧↘","C/C++ Editor"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"C/C++ Source","Go to Next Member","⌃⌥↓","C/C++ Editor"
"Terminal view commands","Terminal view insert","⌥F","Terminal Typing Connected"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Refactor - C++","Extract Local Variable - Refactoring ","⌥⌘L","C/C++ Editor"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"C/C++ Source","Add Include","⇧⌘N","C/C++ Editor"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Window","Quick Access","⌘3","In Windows"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Run/Debug","Coverage SWTBot Test","⌥⇧E S","In Windows"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Terminal view commands","Terminal view insert","⌥P","Terminal Typing Connected"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"File","Properties","⌥↩","In Windows"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Refactor - C++","Toggle Function - Refactoring ","⌥⌘T","C/C++ Editor"
"Terminal view commands","Copy","⇧⌘C","Terminal Control in Focus"
"Edit","Incremental Find","⌘J","Editing Text"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Terminal view commands","Terminal view insert","⌥D","Terminal Typing Connected"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Task Repositories","Mark Task Complete","⌥⇧C","In Tasks View"
"Navigate","Previous Page","⌥⇧F7","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Search","References in Workspace","⇧⌘R","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⌥⇧↑","In Tasks View"
"C/C++ Source","References","⇧⌘G","C/C++ Editor"
"Edit","Word Completion","⌃.","Editing Text"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Run/Debug","Terminate","⌘F2","Debugging"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Window","Close Dialog","⌘W","In Dialogs"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Window","Update Project","⌥F5","In Windows"
"Run/Debug","Run Gradle Test","⌥⌘X G","In Windows"
"Terminal view commands","Maximize Active View or Editor","⌥↑","Terminal Control in Focus"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Task Repositories","New Subtask","⌥⇧N","In Tasks View"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Edit","Select Previous Element","⌃⇧←","Editing in Structured Text Editors"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context"
"Terminal view commands","Terminal view insert","⌥H","Terminal Typing Connected"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","⌥C","Terminal Typing Connected"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Task Repositories","Mark Task Read","⌥⇧R","In Tasks Editor"
"C/C++ Source","Open Element","⇧⌘T","C/C++ Editor"
"Edit","Restore Last Selection","⌥⇧↓","Editing in Structured Text Editors"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Text Editing","Previous Word","⌥←","Editing Text"
